"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"24","02","PCJX","PCJX00057F","","","","","24","02","PCJX","20240228D","","754867B","24","02","28","8","45","PM","07","0","0","0","117","","SAN BRUNO","10.5","06","55","4","1","060","R","515","1","96900","2","Y","MAIN TRACK #1","4","000000","1","JPBX","000900","001","Y","","","000","","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","25000","0","M399","M399","0","0","0","0","M399","1","4","060","25000","","06C081","0","000000","0","1","0","2","0","03","29","03","29","1","7","","3","","SYSTEM","","601","","2024","0","0","0","0","0","0","SAN MATEO","081","","","","Y","2125","3","CALTRAIN 515 TRAVELING NORTHBOUND ON MAIN TRACK 1 FROM MILLBRAE STATION AND EXPRESSING TO 22ND STREE","T STATION. ENCOUNTERED AN UNOCCUPIED VEHICLE NORTH OF SCOTT ST AROUND THE TRACKS. ENGINEER BEGAN SET","TING THE AIR BRAKES AND ONCE HE REALIZED THE VEHICLE WAS BETWEEN THE GAUGE, HE PLACED THE TRAIN INTO","EMERGENCY. THE TRAIN STRUCK THE VEHICLE AND THE VEHICLE CAUGHT FIRE. THE ENGINEER EVACUATED THE CAB","CAR AND USED THE CONDUCTORS RADIO TO CONTACT SAN JOSE CONTROL NORTH DISPATCHER. THE HIGHWAY USER WA","S NO WHERE TO BE FOUND. THE AGE AND GENDER OF THE HIGHWAY USER IS UNKNOWN. THE VEHICLE WAS ABANDONED",".","","","","","","","","","0","37.637369","-122.413078","1","1","","","","CALTRAIN",
"24","03","SJVR","SJV748624D","","","","","24","03","SJVR","SJV748624D","","","24","03","31","1","5","PM","01","11","1","0","0","","FRESNO","207.3","06","60","2","1","004","R","LS70","4","4669","1","Y","ALLAN LEAD 4720","X","","4","TILX","350659","017","Y","","","000","","1","0","0","0","0","0","0","0","0","0","35","0","0","0","0","5","0","0","0","0","1500","17000","T110","","0","0","0","0","T110","4","X","004","18500","","06C019","0","000000","0","1","0","1","0","04","35","04","35","1","7","","Cl","","","","225","","2024","0","0","0","0","0","0","FRESNO","019","","","","N","2170","2","A TRAIN CREW WAS SHOVING TRAIN INTO THE CONTAINER LEAD.  WHEN THE CREW WAS MOVING THE ENGINEER FELT","THE TRAIN HANDLING INCORRECTLY AND STOPPED THE TRAIN. THE HEAD FOUR CARS BEHIND THE LOCOMOTIVES WERE","DERAILED ON ROLLED RAIL.","","","","","","","","","","","","","0","36.72122","-119.76709","2","5","L","","","EXETER",
"24","03","CCT","031224DR","24","03","BNSF","CA0324106","24","03","CCT","031224DR","","","24","03","12","7","30","AM","01","0","0","0","0","","STOCKTON","1.6","06","45","2","1","000","","","2","0","","","MAIN","1","1 MILL","2","","","000","","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9600","T001","","0","0","0","0","T001","2","1","008","28600","","06C077","0","000000","0","0","0","0","0","","","","","2","7","","3","","","","664","","2024","0","0","0","0","0","0","SAN JOAQUIN","077","","","","","","","BNSF TRAIN WAS PULLING 21 CARS FROM INTERCHANGE ON CCT MAIN LINE THE 12TH THRU THE 16TH IN THE TRAIN","DERAILED.  INVESTIGATION REVEALED APPROXIMATELY 12 TIES WERE ROTTED OUT ON THE BOTTOM HALF OF THE T","IE.  UPON FURTHER INVESTIGATION WE FOUND THAT THE TRACK NEEDED TO BE RAISED ABOUT 4 INCHES TO ALLOW","BETTER DRAINAGE.  WE FOUND A HARDPAN UNDER THE SUB GRADE THAT WAS HOLDING THE WATER CAUSING THE BOTT","OM OF THE TIES TO ROT AND BECOME WEAK.  THE REASON FOR THE DELAY IN REPORT IS CCT REQUESTED DOWNLOAD","S FROM THE BNSF AND TO THIS DAY WE STILL HAVE NOT RECEIVED THEM.  SINCE THERE WASN'T ANY WIDE GAUGE","PRESENT WE WANTED THE CHANCE TO REVIEW THE LOCOMOTIVE DOWNLOADS.","","","","","","","","","","37.97544","-121.266508","2","5","","","","CENTRAL VALLEY BRANC",
"24","02","BNSF","CA0224128","","","","","24","02","BNSF","CA0224128","","","24","02","24","3","15","PM","11","0","0","0","0","","BAKERSFIELD","889.0","06","59","2","1","010","E","HBAR","4","4443","1","Y","402","1","0","2","TTGX","971193","029","Y","","","000","","3","0","0","0","0","0","0","0","0","0","24","0","48","0","0","0","0","0","0","0","73981","0","M502","","0","0","0","0","M502","2","1","010","73981","","06C029","0","000000","0","1","0","1","0","04","15","04","15","1","7","","1","","","","168","","2024","0","0","0","0","0","0","KERN","029","","","","N","4841","2","HBARPAS924 ON YARD TRACK WAS DISCOVERED TO HAVE BURNING AUTOMOBILES IN AN AUTO RACK DUE TO VANDALISM",". NO DERAILMENT. NO HAZMAT RELEASE. POLICE REPORT NUMBER  2404000877","","","","","","","","","","","","","","0","35.371418","-119.047687","2","5","K","","","BAKERSFIELD",
"24","03","PCJX","PCJX00062F","","","","","24","03","PCJX","PCJX00062F","","754986K","24","03","29","8","31","PM","07","0","0","0","0","","ATHERTON","27.6","06","50","4","3","065","R","133","1","96900","2","Y","MAIN TRACK #1","4","000000","1","JPBX","000918","001","Y","","","000","","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","61565","M303","","0","1","0","1","M303","1","4","065","61565","","06C081","1","000000","0","1","0","2","0","03","39","03","39","1","7","","3","","SYSTEM","","623","","2024","0","0","0","0","0","1","SAN MATEO","081","","","","Y","2125","3","CT 133 WAS TRAVELING NORTHBOUND ON MAIN 1 APPROACHING FAIR OAKS LANE (MP 27.61), AS TRAIN APPROACHED","CROSSING ENGINEER NOTICED VEHICLE STOPPED ON THE CROSSING WITH THE FRONT OF THE CAR IN THE FOUL OF","MAIN 1. ENGINEER REALIZED IMPACT WAS IMMINENT AND PLACED TRAIN INTO EMERGENCY. TRAIN STRUCK THE FRON","T OF THE CAR AND KNOCKED CAR INTO WESTBOUND CROSSING APPARATUS. CAR THEN SPUN AROUND AND STUCK THE S","ECOND CAR IN THE CONSIST. TRAIN STOPPED APPROXIMATELY 1500 DOWN THE TRACK. CONDUCTOR WALKED BACK TO","INSPECT VEHICLE AND REPORTED ONE PERSON INSIDE. FIRE AND EMS RESPONDED AND REMOVED DRIVER AND TRANSP","ORTED TO AREA HOSPITAL.","","","","","","","","","0","37.464861","-122.198228","1","1","","","","CALTRAIN",
"24","07","UP","0724GL004","","","","","24","07","UP","0724GL004","","","24","07","03","1","45","PM","01","0","0","0","0","","MISSOURI VALLEY","335.23","19","83","2","1","020","E","GSME","3","15719","1","Y","WEST LEG WYE","2","82.1","1","COER","354752","113","Y","","","000","","3","3","0","0","0","0","0","0","0","0","110","0","0","0","0","1","0","0","0","0","9774","414347","T108","","0","0","0","0","T108","1","2","020","424121","","19C085","0","000000","0","1","0","1","0","11","42","11","42","1","6","","CL","","","","459","","2024","0","0","0","0","0","0","HARRISON","085","","","","N","6760","2","THE GSMEAL-01 WAS TRAVELING WEST AROUND THE WEST LEG OF THE WYE, COMING OFF THE SIOUX CITY SUB ONTO","THE BLAIR SUB, WHEN THE CREW ON THE MCBSX-03 NOTICED THE REAR CAR WAS DERAILED AND RADIOED TO THE GS","MEAL-01 TO STOP. AFTER INSPECTION, THE POD WAS FOUND ON THE CONNECTING WYE TRACK AND DETERMINED AN I","RREGULAR TRACK ALIGNMENT WAS THE PRIMARY CAUSE. THE REAR CAR WAS DRAGGED APPROXIMATELY 3,400 FT. CAR","WAS STILL UPRIGHT WITH NO RELEASE. EXTENSIVE TRACK DAMAGE.","","","","","","","","","","","0","41.559634","-96.001115","1","1","Q","","","BLAIR SUB",
"24","06","CPKC","1002127900","","","","","24","06","XSAB","INDUSTRY","","","24","06","29","7","5","PM","01","0","0","0","0","","MONTPELIER","207","19","84","3","1","041","R","K71-","3","2435","1","Y","SSAB SPUR","1","20.05","4","CP","004008","001","N","","","000","","2","0","0","0","0","2","0","0","0","0","19","0","0","0","0","12","0","0","0","0","3807167","9742","H510","","0","1","0","1","H510","4","1","041","3816909","","19C139","1","000000","0","1","0","1","0","06","05","06","05","1","6","","1","","","","207","","2024","0","1","0","0","0","0","MUSCATINE","139","","","","N","1386","2","K71-29 DERAILED AT THE SSAB INDUSTRY TRACK SOUTH OF NAHANT NEAR MP 206 - NOT IMPACTING THE MAIN LINE",". 12 CARS DERAILED. NO HAZMAT INVOLVED. BOTH LOCOMOTIVES (CP 4008 AND KCS 4820) CAME TO REST ON THEI","R SIDE.","","","","","","","","","","","","","0","41.4617","-90.83","2","5","","","","OTTUMWA",
"24","01","CPKC","1002026695","","","","","24","01","CPKC","1002026695","","","24","01","12","12","45","AM","12","0","0","0","0","","DUBUQUE","44.5","19","26","4","6","003","E","261-","2","6873","1","Y","DQ07","2","25.09","2","FURX","922779","001","Y","","","000","","3","0","0","0","0","0","0","0","0","0","23","0","30","0","0","0","0","0","0","0","345","0","H306","","0","0","0","0","H306","2","2","003","36300","","19C061","0","000000","0","1","0","1","0","05","45","05","45","1","6","","1","","","","176","","2024","0","0","0","0","0","0","DUBUQUE","061","00","00","","N","6074","2","261-09 CREW SHOVED A CUT OF CARS (MOVING NORTH TO SOUTH) THROUGH TRACK DQ07 INTO THE SIDE OF A CUT O","F CARS THAT WAS ON THE DUBUQUE SIDING. INCIDENT CAUSED DAMAGE TO 3 RAILCARS.","","","","","","","","","","","","","","0","42.516681","-90.660096","2","5","","","","MARQUETTE",
"24","07","ALS","0724AS003","","","","","24","07","ALS","0724AS003","","","24","07","06","11","0","PM","01","0","0","0","0","","EAST ST LOUIS","2.55","17","74","4","1","002","E","YR22","3","10632","7","Y","YARD 171","1","","2","TTGX","979145","033","Y","","","000","","2","0","0","0","0","0","0","0","0","0","101","0","6","0","0","12","0","0","0","0","76833","1000","H523","","0","0","0","0","H523","2","1","002","77833","","17C163","0","000000","0","2","0","0","0","07","30","","","1","6","","Cl","","","","500","","2024","0","0","0","0","0","0","ST CLAIR","163","00","00","","N","7657","2","THE YR222-06 WAS GIVEN INSTRUCTIONS TO DOUBLE UP TRACKS 63, 68 (19 CARS), 69 AND BACK TO 68 FOR THE","REST OF THE CARS. THEY WERE DOUBLING BACK TO THE LAST 6 CARS IN 68 AND WERE HAVING TROUBLE GETTING T","HE PIN TO FALL ON THE CAR THEY WERE COUPLING INTOSO AS THEY WERE STRETCHING THE CUT, THEY SAID THAT","THEY ACCIDENTALLY BUMPED THE SPEED SELECTOR TO MAX, CAUSING THE CUT TO JERK AND ONCE NOTICED WHAT HA","PPENED, HE PUT IT TO STOP AND WENT TO CHECK ON THE TRAIN AND FOUND THAT IT HAD DERAILED 12 RAILCARS.","","","","","","","","","","","3","38.599062","-90.152938","2","5","L","","","ALTON & SOUTHERN GAT",
"24","07","ALS","0724AS010","24","07","UP","0724MA034","24","07","ALS","0724AS010","","","24","07","20","6","35","AM","01","0","0","0","0","","EAST ST LOUIS","0.06","17","64","1","1","000","","","1","0","","","TRACK 110","1","","2","","","000","","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5457","H518","","0","0","0","0","H518","1","1","006","16010","","17C163","0","000000","0","0","0","0","0","","","","","2","6","","Cl","","","","263","","2024","0","0","0","0","0","0","ST CLAIR","163","","","","","12237","0","UP TRAIN MNLASB-18 WHILE IN PROCESS OF PULLING INTO THE COTTON BELT TO YARD HIS TRAIN WHEN AN EMPTY","5 PACK INTERMODAL CAR DTTX795491 DERAILED AND RERAILED ITSELF. THIS WAS VERIFIED VIA CAMERA FOOTAGE","WHILE INVESTING THE INCIDENT. **UP EQUIPMENT DAMAGE = $10,091**","","","","","","","","","","","","","","38.594954","-90.156142","2","5","L","","","CHESTER SUB",
